unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
100654,33000,35500,27200,28400,29983,31992,17500,16600,2097,3575,1,0,0,0,0,0,0,hbcu,latest
100663,47000,48400,38600,39400,47178,51431,16666,15832,2965,7395,0,0,0,0,0,0,0,,latest
100690,NA,47600,30300,35400,NA,34613,12875,13385,371,457,0,0,0,0,0,0,0,,latest
100706,47000,52000,36300,40300,56158,61771,14502,13905,1007,3138,0,0,0,0,0,0,0,,latest
100724,29000,30600,23500,24400,30936,32520,17750,17500,1664,2690,1,0,0,0,0,0,0,hbcu,latest
100751,45500,51600,42900,42400,49581,56012,17750,17986,2770,11137,0,0,0,0,0,0,0,,latest
100760,28900,32400,23300,25900,28934,31468,6500,5500,230,456,0,0,0,0,0,0,0,,latest
100812,36700,42400,30800,36200,44922,48014,15650,14861,806,1806,0,0,0,0,0,0,0,,latest
100830,34600,38000,29400,32100,37928,42659,13000,13119,1443,2676,0,1,0,0,0,0,0,pbi,latest
100858,53800,56300,41900,43100,57158,61406,18750,17750,1370,6774,0,0,0,0,0,0,0,,latest
100937,NA,53100,33800,36700,48826,53677,12000,16000,96,433,0,0,0,0,0,0,0,,latest
101028,28500,31300,22000,26000,31298,34321,6250,5900,327,553,0,1,0,0,0,0,0,pbi,latest
101116,32200,40200,24700,32500,29380,32897,12643,13000,6874,9946,0,0,0,0,0,0,0,,latest
101143,40000,42700,29600,33700,35047,37816,5362,5500,212,451,0,0,0,0,0,0,0,,latest
101161,29700,33900,24900,26600,30330,33539,5746,5500,1316,2866,0,0,0,0,0,0,0,,latest
101189,32000,40700,26900,33400,37224,42211,15750,15000,1041,1809,0,1,0,0,0,0,0,pbi,latest
101240,28200,30200,22900,24300,NA,31231,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
101277,NA,NA,NA,NA,NA,17702,5500,6100,82,112,0,0,0,0,0,0,0,,latest
101286,28700,29800,23600,24900,NA,30306,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101295,31700,34800,25900,29200,33739,37446,8200,8200,1019,2279,0,0,0,0,0,0,0,,latest
101301,25700,27300,21800,23000,NA,27797,NA,NA,NA,NA,0,1,0,0,0,0,0,pbi,latest
101365,35000,41600,24500,30100,33884,38007,10662,11756,6447,9346,0,0,0,0,0,0,0,,latest
101435,31300,43600,29000,34600,38593,46532,25000,20000,198,615,0,0,0,0,0,0,0,,latest
101453,NA,NA,NA,NA,NA,41353,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101462,25600,27600,20300,21500,NA,25880,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
101471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101480,35200,38100,28700,31800,39103,43146,14000,14000,1752,4197,0,0,0,0,0,0,0,,latest
101505,31700,33800,26300,29400,34369,36997,3500,4500,1477,3199,0,0,0,0,0,0,0,,latest
101514,28100,32200,24400,27000,31623,35178,6126,6010,1374,3250,0,0,0,0,0,0,0,,latest
101569,25300,26600,21800,22700,NA,29498,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
101587,36300,40400,25500,29700,35125,39584,12500,13000,1117,2005,0,1,0,0,0,0,0,pbi,latest
101602,30000,32000,24300,25500,NA,32036,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101648,NA,49800,32400,33600,50437,55782,4750,5500,77,248,0,0,0,0,0,0,0,,latest
101675,27900,29500,21200,23100,28795,30166,16500,15691,869,1221,1,0,0,0,0,0,0,hbcu,latest
101693,33200,38700,31100,32700,36393,41687,22223,19000,318,785,0,0,0,0,0,0,0,,latest
101709,34500,36100,26400,28000,36752,39133,15745,16000,397,1228,0,0,0,0,0,0,0,,latest
101736,28000,30800,23500,25600,28804,32116,5500,5500,601,1224,0,0,0,0,0,0,0,,latest
101879,38000,42800,28600,32100,41298,43633,16250,15781,1075,3058,0,0,0,0,0,0,0,,latest
101897,29400,31700,23800,26200,29762,32882,3500,4400,254,598,0,0,0,0,0,0,0,,latest
101912,32600,37400,24400,25800,33724,36092,20500,21500,391,966,1,0,0,0,0,0,0,hbcu,latest
101994,25500,26800,NA,25300,NA,25450,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
102030,27000,28300,22700,23500,NA,27738,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102049,59100,59800,49500,45200,57744,54932,18538,15750,139,1010,0,0,0,0,0,0,0,,latest
102058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102067,30000,31100,24800,25900,NA,33221,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102076,28700,30700,24400,25700,30513,33915,5750,6450,319,623,0,0,0,0,0,0,0,,latest
102094,44500,46800,32200,35100,40738,44838,18750,17750,2195,5553,0,0,0,0,0,0,0,,latest
102234,39200,51300,29600,34800,40999,50757,19500,21500,155,568,0,0,0,0,0,0,0,,latest
102270,28900,33700,24000,24900,30387,32891,16375,16000,414,571,1,0,0,0,0,0,0,hbcu,latest
102298,24000,23900,20400,24200,24219,27033,14750,15000,636,868,1,0,0,0,0,0,0,hbcu,latest
102313,27100,28000,22400,24400,NA,28179,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102368,35400,41100,29400,34300,37055,41914,17000,15985,4311,8378,0,0,0,0,0,0,0,,latest
102377,39400,42200,33800,34500,41139,44811,22937,21250,564,1374,1,0,0,0,0,0,0,hbcu,latest
102395,NA,NA,NA,35700,NA,46997,10819,10976,31,73,0,0,0,0,0,0,0,,latest
102429,30100,31300,25300,26600,NA,32403,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
102553,46000,51200,37200,41500,40945,45334,12500,11231,1411,3942,0,0,0,0,0,0,0,,latest
102580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
102614,41100,45100,30700,36500,39522,46319,12136,11283,897,2180,0,0,1,0,0,0,1,annhi;nanti,latest
